iter	Logloss
0	0.6599302791
1	0.6355867024
2	0.6169532468
3	0.6048579401
4	0.5891945448
5	0.5768812254
6	0.5688482903
7	0.5640238121
8	0.5553481615
9	0.5503769989
10	0.5464036299
11	0.5418116001
12	0.5382904908
13	0.5378243471
14	0.5349869303
15	0.5317914443
16	0.5287916811
17	0.5262749317
18	0.5247472738
19	0.5217050595
20	0.5192171105
21	0.5168437954
22	0.5149756756
23	0.5123192766
24	0.5104235152
25	0.5082142628
26	0.5065849909
27	0.5051636893
28	0.503746476
29	0.503015154
30	0.501231502
31	0.4999574255
32	0.4990317293
33	0.4976613186
34	0.4961640327
35	0.4944663806
36	0.4928107854
37	0.491817269
38	0.4908743217
39	0.4893551603
40	0.4888374328
41	0.4881064051
42	0.487126782
43	0.4860309165
44	0.4842651894
45	0.4834414216
46	0.4828981818
47	0.4819026102
48	0.4808670249
49	0.4797117853
50	0.4789316709
51	0.4775657064
52	0.4765307301
53	0.4759371265
54	0.4750187019
55	0.4743526106
56	0.4734329781
57	0.4730441381
58	0.4722651071
59	0.4716488411
60	0.4705636353
61	0.4697601158
62	0.4691345282
63	0.4685600227
64	0.4669790843
65	0.4666518309
66	0.4660667995
67	0.4648102458
68	0.4641920018
69	0.4629172901
70	0.4625184225
71	0.462001482
72	0.4618538507
73	0.4613282241
74	0.4607844001
75	0.4601722716
76	0.459470743
77	0.4583404522
78	0.4572112535
79	0.4561208993
80	0.4556484259
81	0.4553779854
82	0.4549173358
83	0.4543965706
84	0.4537641141
85	0.4527101895
86	0.4517502785
87	0.4513467574
88	0.4500530714
89	0.4489364959
90	0.447770533
91	0.4472226526
92	0.4458951095
93	0.4447100437
94	0.4434297187
95	0.4428837178
96	0.4424707188
97	0.4415034026
98	0.4406012349
99	0.4403353869
100	0.4396903535
101	0.4385064369
102	0.4367732428
103	0.4359837609
104	0.4347674474
105	0.4335733751
106	0.4327579899
107	0.4316926853
108	0.430927161
109	0.4298152997
110	0.429503447
111	0.428920629
112	0.4287818657
113	0.4280520743
114	0.4267745529
115	0.42577239
116	0.4251710746
117	0.4247407404
118	0.4239672552
119	0.4229287882
120	0.4228019279
121	0.4219929102
122	0.4211430251
123	0.420852105
124	0.4198335002
125	0.4189842413
126	0.4184952305
127	0.4180425648
128	0.4173759939
129	0.417020115
130	0.4162653106
131	0.4154333107
132	0.4142880013
133	0.4136466711
134	0.4132503518
135	0.4127499803
136	0.4123585273
137	0.4113408093
138	0.4103711279
139	0.4093771745
140	0.4083641877
141	0.4073678983
142	0.4065790888
143	0.4055741439
144	0.404751611
145	0.4043038968
146	0.4029905645
147	0.4025912437
148	0.4019355397
149	0.4012715815
150	0.4002953147
151	0.3992887296
152	0.3985119908
153	0.3983340155
154	0.3974007371
155	0.3970229221
156	0.3965422377
157	0.3958027713
158	0.3950016421
159	0.3940521082
160	0.3932231985
161	0.3922356739
162	0.3913060498
163	0.3910317337
164	0.3904536331
165	0.3890358579
166	0.3882312388
167	0.3875015374
168	0.3870252185
169	0.3867995252
170	0.3858619796
171	0.3852885178
172	0.3843422263
173	0.384208979
174	0.3838964104
175	0.3833032481
176	0.3829526875
177	0.3827218644
178	0.3821844627
179	0.3810315832
180	0.3806005329
181	0.3800593958
182	0.379276111
183	0.3785081228
184	0.3778620528
185	0.3774445992
186	0.3764405336
187	0.3754691664
188	0.3751991592
189	0.3748386351
190	0.374458193
191	0.3737239806
192	0.373209689
193	0.3730076702
194	0.3719267679
195	0.3716310087
196	0.3712110418
197	0.3708185376
198	0.3701157583
199	0.3690958488
200	0.3688243414
201	0.3684562195
202	0.3676019089
203	0.3661089284
204	0.3658416857
205	0.3650493962
206	0.3642542477
207	0.3639644867
208	0.3635054215
209	0.3633840289
210	0.3630381569
211	0.3623423044
212	0.362005991
213	0.3613670955
214	0.3608472135
215	0.3595900256
216	0.3584948235
217	0.3582390435
218	0.3577740991
219	0.3572597653
220	0.3564644275
221	0.3562016534
222	0.3556949037
223	0.3554038844
224	0.3551610438
225	0.3549806935
226	0.354355088
227	0.3534636819
228	0.3530355691
229	0.3524581777
230	0.3517664967
231	0.3515733216
232	0.3508326338
233	0.3500171586
234	0.3495278029
235	0.3491360431
236	0.3482984032
237	0.3480543212
238	0.3477772708
239	0.3469700432
240	0.3461120149
241	0.3459651336
242	0.3459075876
243	0.3453175648
244	0.3444672849
245	0.3437309932
246	0.3429675885
247	0.3427105371
248	0.3418278398
249	0.3411423241
250	0.3410424038
251	0.3407990428
252	0.3405558915
253	0.3403256612
254	0.3395572819
255	0.339463082
256	0.339270307
257	0.3389393658
258	0.3380981078
259	0.3375604567
260	0.3365738691
261	0.3361743352
262	0.3355693266
263	0.3350232211
264	0.3346088977
265	0.3339778571
266	0.333505311
267	0.3327482956
268	0.3321136041
269	0.3312813552
270	0.3305328117
271	0.3297337144
272	0.3295294654
273	0.3289251121
274	0.3285466363
275	0.3282227735
276	0.3275268733
277	0.3270730356
278	0.3264203092
279	0.3259345591
280	0.3254754872
281	0.3246539525
282	0.324459492
283	0.3239052499
284	0.3233172795
285	0.3228926835
286	0.3225221184
287	0.3219226703
288	0.3216267688
289	0.32136335
290	0.3208110511
291	0.3207104365
292	0.3203088929
293	0.3197881369
294	0.3195379985
295	0.319253327
296	0.3185904564
297	0.3184515924
298	0.3179486118
299	0.3173871483
300	0.3167847486
301	0.3163907297
302	0.3158602438
303	0.3154211125
304	0.3150441347
305	0.3146425822
306	0.3144725841
307	0.3138894338
308	0.3133488921
309	0.3127493776
310	0.3119946814
311	0.3116161993
312	0.3109767347
313	0.3106954361
314	0.3099779088
315	0.3097324792
316	0.3096377529
317	0.3095155339
318	0.309246676
319	0.3091142008
320	0.3085952753
321	0.3084124278
322	0.3080009007
323	0.3078710137
324	0.3071152417
325	0.3065251751
326	0.3063451832
327	0.3056360244
328	0.3053834175
329	0.3049286794
330	0.3046071665
331	0.3038574657
332	0.3033877028
333	0.3033065971
334	0.3025326528
335	0.3016839695
336	0.3016091354
337	0.3009455816
338	0.3007721797
339	0.3006032253
340	0.2998187513
341	0.2992056279
342	0.2990510416
343	0.2985310297
344	0.2979806477
345	0.2973460278
346	0.2970811348
347	0.2969097273
348	0.296654147
349	0.2962630822
350	0.295902507
351	0.2957619792
352	0.2955416808
353	0.2951094803
354	0.2947617622
355	0.2943219964
356	0.2940588044
357	0.2936524766
358	0.2934171817
359	0.2933049333
360	0.2931502644
361	0.2929851281
362	0.2924948643
363	0.291941347
364	0.2913277926
365	0.2912013487
366	0.2906111736
367	0.2897565408
368	0.289173223
369	0.2889591158
370	0.2884765213
371	0.2878349686
372	0.2873268633
373	0.2872161767
374	0.2867359406
375	0.286509857
376	0.2860226658
377	0.2856605873
378	0.2852172151
379	0.2849814791
380	0.2848625295
381	0.284240843
382	0.2838423863
383	0.2835014022
384	0.2829880028
385	0.2825614785
386	0.2822290754
387	0.2821407738
388	0.2815309251
389	0.2812309333
390	0.2809870866
391	0.2807364269
392	0.2804271933
393	0.2797955379
394	0.2793616462
395	0.2786450551
396	0.2781888482
397	0.2781025292
398	0.2779356562
399	0.2774480763
400	0.2769824066
401	0.2767487848
402	0.2764960027
403	0.2764122894
404	0.2760160421
405	0.2756107907
406	0.2751100698
407	0.2749506916
408	0.2745268884
409	0.2743222302
410	0.274098331
411	0.2733041637
412	0.2729315768
413	0.2727068026
414	0.2725195401
415	0.2724221248
416	0.2722483393
417	0.2718919602
418	0.2711102476
419	0.2708613105
420	0.2704828151
421	0.2703812146
422	0.2702362432
423	0.2700619561
424	0.2695066101
425	0.2690187186
426	0.2684780281
427	0.2679018163
428	0.267458798
429	0.2670478033
430	0.2667209522
431	0.2662780362
432	0.2658881617
433	0.2652916048
434	0.2651934821
435	0.2651228523
436	0.2649381721
437	0.2646531604
438	0.2642950107
439	0.2637656979
440	0.2635422098
441	0.2631923361
442	0.2628957433
443	0.2627941259
444	0.2624162785
445	0.2621685457
446	0.2620489751
447	0.2619012718
448	0.2617865082
449	0.2614168881
450	0.261278612
451	0.2608458849
452	0.2603293572
453	0.2600356291
454	0.2595989158
455	0.2593741138
456	0.2589484025
457	0.2585261706
458	0.2584076047
459	0.258124599
460	0.2575383977
461	0.2572835809
462	0.2569612909
463	0.2566039089
464	0.2565460392
465	0.2564252114
466	0.2560972458
467	0.2560583755
468	0.2558858208
469	0.2557313665
470	0.2553402963
471	0.2549260968
472	0.2547009765
473	0.2542866884
474	0.2542062196
475	0.2537965266
476	0.2534699732
477	0.2530377008
478	0.2529356655
479	0.2524043336
480	0.252149572
481	0.2519265469
482	0.251610523
483	0.2514811647
484	0.2510455869
485	0.2507762787
486	0.2504263523
487	0.2498527349
488	0.2496851191
489	0.2493604371
490	0.2492898828
491	0.2491325316
492	0.2489941066
493	0.2485736506
494	0.2481527695
495	0.2477552017
496	0.2476860005
497	0.2472556759
498	0.2466312226
499	0.246550743
500	0.2462139222
501	0.2459750612
502	0.2456827942
503	0.2453937595
504	0.2452906436
505	0.2448701086
506	0.2446127217
507	0.2443566903
508	0.2442487698
509	0.2439613971
510	0.2436057254
511	0.2430771637
512	0.2428302186
513	0.2425592224
514	0.2421302531
515	0.241941777
516	0.241545521
517	0.2414687969
518	0.2413824942
519	0.2412669844
520	0.240979755
521	0.2406437788
522	0.2402354157
523	0.2399015363
524	0.2394566988
525	0.2393340126
526	0.2391326567
527	0.2390592993
528	0.2388948086
529	0.2385241469
530	0.2383381864
531	0.2382759332
532	0.2381613135
533	0.2378263533
534	0.237572199
535	0.2372460948
536	0.2369904922
537	0.2367031644
538	0.2363397017
539	0.236269127
540	0.2359339712
541	0.2355001866
542	0.2349457237
543	0.2344459395
544	0.2341026967
545	0.2339238008
546	0.2336507543
547	0.2333564071
548	0.2331481217
549	0.2326387613
550	0.2321152541
551	0.2315267167
552	0.231261513
553	0.2311205047
554	0.2307706894
555	0.2306414619
556	0.2303556358
557	0.2298388092
558	0.2295057388
559	0.2292685842
560	0.2289807872
561	0.2288946841
562	0.2286743758
563	0.2286353061
564	0.2283336701
565	0.2282655339
566	0.2280056219
567	0.2279184581
568	0.2275196958
569	0.2271539697
570	0.2267894476
571	0.2266937847
572	0.2265217203
573	0.2263227977
574	0.2260024362
575	0.2256535196
576	0.2253149785
577	0.2249621707
578	0.2246552584
579	0.2244738498
580	0.2242302382
581	0.223777137
582	0.2237237454
583	0.2234369989
584	0.2232291724
585	0.2230505615
586	0.2227678836
587	0.2225588469
588	0.2224767717
589	0.222268035
590	0.2218040025
591	0.2215886795
592	0.2211604791
593	0.22085618
594	0.2206533111
595	0.2200478784
596	0.2196334711
597	0.2195400478
598	0.2193754908
599	0.2188610937
600	0.2186522454
601	0.2185167621
602	0.2181475232
603	0.2176856736
604	0.2172591117
605	0.2171035975
606	0.2169139479
607	0.2165479112
608	0.2164491741
609	0.2161498379
610	0.21600691
611	0.2157527925
612	0.2154412425
613	0.2154224217
614	0.2150229865
615	0.2146978623
616	0.2145483554
617	0.2144904707
618	0.2141947923
619	0.214069714
620	0.2135703078
621	0.2131346861
622	0.2127956796
623	0.2127518773
624	0.212580029
625	0.2119432613
626	0.2115924853
627	0.2114055053
628	0.2110641518
629	0.2107757512
630	0.2105414967
631	0.2101868383
632	0.2099232418
633	0.2093484499
634	0.2092109941
635	0.2088873929
636	0.2086264725
637	0.2084828912
638	0.2084522672
639	0.2082141069
640	0.2079574037
641	0.2076806417
642	0.2074614873
643	0.2073694107
644	0.2068762005
645	0.206723083
646	0.2066793855
647	0.2065290522
648	0.2061420343
649	0.2059233527
650	0.2055972586
651	0.2052363037
652	0.2050602179
653	0.2047927827
654	0.2045253281
655	0.2042179811
656	0.204130819
657	0.2037945328
658	0.203455013
659	0.2032886648
660	0.2032546857
661	0.2029372744
662	0.2026535807
663	0.2024272667
664	0.2023549417
665	0.2021336544
666	0.201772528
667	0.2015709718
668	0.2013935951
669	0.2009857971
670	0.2006807994
671	0.2006155106
672	0.2000072224
673	0.1997737703
674	0.1995475615
675	0.1990788196
676	0.1988947292
677	0.198453288
678	0.1982195375
679	0.1980807559
680	0.1978780013
681	0.1976158545
682	0.1972640163
683	0.1971161776
684	0.1968739567
685	0.196488192
686	0.1962823405
687	0.1962210174
688	0.1961151426
689	0.1956939215
690	0.1954459495
691	0.1952055609
692	0.1950295727
693	0.1948196287
694	0.1944180769
695	0.1941393194
696	0.1939453586
697	0.1938562864
698	0.1936548017
699	0.1935592703
700	0.1934673401
701	0.1932472167
702	0.1931088299
703	0.192848729
704	0.192671361
705	0.1925583805
706	0.1921435497
707	0.1918957684
708	0.1915791905
709	0.1914676733
710	0.1912024928
711	0.1911178872
712	0.19100066
713	0.1907239976
714	0.1905424296
715	0.190417906
716	0.190207635
717	0.190003267
718	0.1897041058
719	0.1894678991
720	0.1893680453
721	0.1892766015
722	0.1890302504
723	0.1886897108
724	0.1884210217
725	0.188201788
726	0.1879742438
727	0.1878360272
728	0.1873949788
729	0.1872224298
730	0.1871492173
731	0.187005164
732	0.1869617711
733	0.1866361721
734	0.1863530958
735	0.1861496052
736	0.1858555841
737	0.1856997982
738	0.1853483778
739	0.1851216424
740	0.184787149
741	0.1845735028
742	0.1844503535
743	0.1842596589
744	0.1839796365
745	0.1838609327
746	0.1835454995
747	0.183331568
748	0.18325222
749	0.182980449
750	0.1828605796
751	0.1826265717
752	0.1823336498
753	0.1822474457
754	0.182157506
755	0.1820911188
756	0.1818462926
757	0.1817508856
758	0.1816814747
759	0.1814481649
760	0.1813907565
761	0.1812521726
762	0.180997528
763	0.1808966603
764	0.1806442159
765	0.1803652212
766	0.1803391499
767	0.1801897427
768	0.1799295216
769	0.1797185049
770	0.1795140499
771	0.1793635372
772	0.1792870173
773	0.1791946261
774	0.1790986359
775	0.1790722792
776	0.1787833175
777	0.1786343926
778	0.1783697415
779	0.1782286108
780	0.1781129323
781	0.177951674
782	0.1777085625
783	0.177457569
784	0.177224742
785	0.1770407943
786	0.1769629269
787	0.176636226
788	0.1765767454
789	0.1764957612
790	0.1762723287
791	0.1761709057
792	0.1760548568
793	0.175665987
794	0.1755010755
795	0.1752221461
796	0.1749539038
797	0.1746072453
798	0.1742559327
799	0.1741356963
800	0.1740925385
801	0.1740364524
802	0.1738035758
803	0.1735468808
804	0.1734539674
805	0.1731546278
806	0.1729275405
807	0.1726134877
808	0.1725266305
809	0.1723098845
810	0.1722603618
811	0.1722374756
812	0.1720498853
813	0.1717955859
