iter	Passed	Remaining
0	20	20609
1	45	22472
2	67	22375
3	92	22977
4	116	23111
5	141	23429
6	165	23410
7	194	24117
8	217	23969
9	241	23942
10	265	23856
11	289	23852
12	314	23853
13	320	22545
14	343	22555
15	367	22592
16	392	22695
17	415	22685
18	441	22779
19	464	22749
20	487	22727
21	510	22686
22	534	22717
23	559	22736
24	583	22757
25	611	22899
26	634	22850
27	661	22973
28	685	22963
29	709	22930
30	733	22942
31	757	22916
32	782	22921
33	805	22885
34	829	22875
35	853	22852
36	877	22834
37	900	22806
38	924	22778
39	947	22745
40	970	22703
41	995	22709
42	1019	22683
43	1044	22704
44	1068	22666
45	1093	22674
46	1117	22649
47	1141	22640
48	1165	22614
49	1189	22592
50	1213	22587
51	1238	22571
52	1261	22536
53	1284	22500
54	1308	22474
55	1332	22469
56	1358	22473
57	1383	22471
58	1406	22431
59	1430	22415
60	1456	22419
61	1482	22428
62	1507	22427
63	1532	22417
64	1563	22485
65	1601	22669
66	1631	22722
67	1664	22808
68	1689	22801
69	1712	22758
70	1737	22731
71	1762	22718
72	1788	22710
73	1812	22685
74	1839	22692
75	1873	22773
76	1903	22814
77	1935	22875
78	1966	22921
79	1991	22902
80	2016	22875
81	2041	22849
82	2069	22858
83	2094	22843
84	2120	22828
85	2150	22857
86	2185	22930
87	2215	22957
88	2240	22937
89	2266	22914
90	2290	22880
91	2316	22861
92	2341	22840
93	2366	22807
94	2402	22883
95	2445	23031
96	2479	23083
97	2539	23371
98	2564	23338
99	2595	23356
100	2624	23357
101	2648	23319
102	2686	23393
103	2742	23630
104	2768	23594
105	2792	23548
106	2816	23504
107	2842	23479
108	2868	23447
109	2893	23409
110	2916	23357
111	2946	23363
112	2979	23388
113	3011	23403
114	3039	23389
115	3063	23348
116	3088	23310
117	3114	23276
118	3140	23252
119	3166	23218
120	3188	23166
121	3212	23122
122	3238	23092
123	3265	23069
124	3294	23059
125	3321	23041
126	3347	23012
127	3375	22992
128	3400	22957
129	3424	22919
130	3449	22884
131	3475	22855
132	3502	22830
133	3527	22797
134	3551	22755
135	3579	22737
136	3605	22711
137	3631	22681
138	3659	22670
139	3689	22666
140	3716	22641
141	3742	22612
142	3767	22578
143	3790	22534
144	3814	22493
145	3841	22470
146	3866	22433
147	3897	22435
148	3924	22411
149	3951	22390
150	3978	22369
151	4004	22342
152	4029	22307
153	4058	22295
154	4086	22279
155	4111	22244
156	4137	22214
157	4164	22191
158	4189	22160
159	4214	22125
160	4240	22099
161	4267	22072
162	4295	22059
163	4322	22035
164	4347	22002
165	4372	21965
166	4397	21935
167	4423	21904
168	4448	21871
169	4475	21850
170	4501	21820
171	4526	21789
172	4550	21755
173	4582	21752
174	4610	21735
175	4635	21701
176	4658	21661
177	4683	21627
178	4713	21620
179	4738	21584
180	4762	21549
181	4788	21521
182	4812	21486
183	4837	21453
184	4863	21425
185	4887	21390
186	4913	21362
187	4940	21337
188	4965	21305
189	4989	21269
190	5013	21236
191	5039	21205
192	5063	21172
193	5087	21137
194	5112	21105
195	5137	21073
196	5165	21053
197	5191	21029
198	5217	21002
199	5242	20969
200	5266	20936
201	5291	20903
202	5316	20872
203	5341	20841
204	5365	20809
205	5392	20783
206	5444	20856
207	5469	20826
208	5497	20804
209	5523	20779
210	5548	20747
211	5579	20738
212	5611	20734
213	5638	20708
214	5662	20675
215	5687	20643
216	5712	20610
217	5736	20579
218	5761	20546
219	5786	20514
220	5811	20484
221	5838	20460
222	5863	20431
223	5888	20399
224	5913	20368
225	5937	20335
226	5962	20304
227	5988	20275
228	6012	20244
229	6037	20211
230	6063	20187
231	6090	20162
232	6116	20135
233	6143	20109
234	6167	20076
235	6190	20041
236	6215	20009
237	6239	19978
238	6265	19949
239	6289	19915
240	6313	19882
241	6336	19848
242	6360	19813
243	6384	19782
244	6408	19749
245	6433	19717
246	6456	19682
247	6480	19650
248	6506	19622
249	6530	19590
250	6556	19565
251	6584	19543
252	6608	19512
253	6632	19479
